"","logFC","logCPM","F","PValue","FDR"
"CITED2",1.95506764703506,3.18466599188522,21.7930181979524,0.000467707210868047,0.00091552399292222
"ZNF627",-1.07099723376193,5.32584978384982,21.6619886933926,0.000468728857191286,0.000917385489496817
"FAM135B",-3.0336996462848,2.40445910014712,17.5024280717694,0.000469479161698883,0.000918715440803784
"RPS10",1.22387104934315,8.62737937616708,21.6269863608901,0.000470799121555097,0.000921122470111266
"ZNF805",-0.91418318231241,4.19375316886011,21.7009735762902,0.000470851123974441,0.000921122470111266
"TADA1",1.1220083369766,3.75961506888143,21.7140812543306,0.000470993636979022,0.00092126241832244
"ZNF689",0.88728046440197,3.7215488544063,21.7097710637233,0.000471079762357092,0.000921292046918043
"ZNF549",-0.869048079379267,4.56354585690023,21.6521269286835,0.000471799364082722,0.000922560371466365
"PEPD",1.24023187602738,4.00185850642121,21.6720301801658,0.00047229015022301,0.00092338095344098
"ACTN1",2.06181693985706,5.41057409062457,21.6135250671989,0.000473155900002017,0.000924934274401533
"DGCR2",1.14690343598406,4.73432474177643,21.6010461191761,0.000474698517335176,0.000927810082067548
"IFITM2",2.83742761712484,4.62415133938412,21.6878744129322,0.000475421424635444,0.000929083121314072
"GNL1",0.823727659973836,5.17085779789805,21.581931112013,0.000475656726944927,0.000929403028111569
"PTGES2",1.40955996599713,5.11812283201412,21.5791059389069,0.000476203615847238,0.000930311798946777
"ABHD18",-0.772604789916561,5.20418813234085,21.5786874895763,0.000476265169799794,0.000930311798946777
"DENND4B",1.23354675673147,5.28686202590909,21.5514534146852,0.000478467697740122,0.000934391032944283
"APELA",1.60048513260978,3.99372536986943,21.6257115315466,0.00047853524565446,0.000934391032944283
